epoch,loss,budget_loss,constraint_loss,euler_loss,education_loss,mean_c,mean_a_l,mean_a_i,mean_income_healthy,mean_income_disabled,enrollment_rate,private_healthcare_rate,time
0,59835.33984375,5983.53369140625,0.0,0.0010862473864108324,0.03509430214762688,1.3699584007263184,35.558712005615234,142.2040252685547,2.5603017807006836,1.3421212434768677,0.3280079662799835,0.5040278434753418,0.06677913665771484
1,42088.4765625,4208.84716796875,0.0,0.0010861871996894479,0.03556343913078308,1.369238018989563,34.04827117919922,94.64631652832031,2.4440441131591797,1.1048842668533325,0.32129642367362976,0.4938107132911682,0.07315826416015625
2,39043.2421875,3904.323974609375,0.0,0.0010698598343878984,0.04322296380996704,1.3754281997680664,34.46055221557617,85.75746154785156,2.522691011428833,1.0997049808502197,0.3171882927417755,0.4885847270488739,0.07633805274963379
3,37111.2578125,3711.125244140625,0.0,0.001072599203325808,0.039024561643600464,1.3736999034881592,35.907283782958984,91.12651824951172,2.4662797451019287,1.1264874935150146,0.3163098096847534,0.48533761501312256,0.07934999465942383
4,34128.94921875,3412.89453125,0.0,0.0010503213852643967,0.05143246054649353,1.3833138942718506,37.340782165527344,101.32966613769531,2.535691738128662,1.2440438270568848,0.3192395567893982,0.48567110300064087,0.08242321014404297
5,31702.287109375,3170.22802734375,0.0,0.0010496573522686958,0.034996915608644485,1.3837482929229736,37.52744674682617,103.03187561035156,2.5700695514678955,1.5990009307861328,0.3189924359321594,0.4842091202735901,0.08565926551818848
6,31331.43359375,3133.142578125,0.0,0.0010304698953405023,0.05139435455203056,1.3934060335159302,36.934478759765625,100.03846740722656,2.559964656829834,1.070381760597229,0.3164149522781372,0.4835972785949707,0.08864808082580566
7,26831.939453125,2683.193359375,0.0,0.001031006220728159,0.03771726042032242,1.393545389175415,35.713951110839844,97.1990966796875,2.518923759460449,0.923496425151825,0.31231245398521423,0.48165789246559143,0.0915842056274414
8,25882.298828125,2588.229248046875,0.0,0.00101261748932302,0.046360891312360764,1.4022998809814453,34.50172424316406,101.33334350585938,2.5067501068115234,1.7534723281860352,0.3119845986366272,0.4810638427734375,0.09440898895263672
9,20184.009765625,2018.400146484375,0.0,0.000978161464445293,0.05207373946905136,1.4184792041778564,33.21098709106445,110.17211151123047,2.5098865032196045,1.137540340423584,0.31126365065574646,0.4805390536785126,0.09727001190185547
10,17753.9765625,1775.3973388671875,0.0,0.0009614251321181655,0.0416988842189312,1.426924705505371,31.672779083251953,114.79725646972656,2.5599777698516846,1.417502760887146,0.3104771673679352,0.47839105129241943,0.10005712509155273
11,11024.4619140625,1102.4456787109375,0.0,0.0009684204123914242,0.03882255777716637,1.4239237308502197,29.618858337402344,107.04006958007812,2.5732061862945557,1.4949822425842285,0.30350229144096375,0.4726135730743408,0.10290312767028809
12,9301.623046875,930.1617431640625,0.0,0.0009693684405647218,0.04601610451936722,1.426218032836914,27.386058807373047,100.6407699584961,2.562349319458008,1.2608273029327393,0.299645334482193,0.46631529927253723,0.10562324523925781
13,6085.203125,608.519775390625,0.0,0.0009521169122308493,0.044737689197063446,1.4363689422607422,25.64211654663086,103.02555084228516,2.609797716140747,1.47724187374115,0.2981316149234772,0.4632260799407959,0.10838508605957031
14,6874.19873046875,687.4192504882812,0.0,0.0008989744819700718,0.05301200598478317,1.4678391218185425,24.887575149536133,124.5391845703125,2.422384738922119,1.1320579051971436,0.30296462774276733,0.4710971415042877,0.11125826835632324
15,6549.060546875,654.905517578125,0.0,0.0009279304067604244,0.045405931770801544,1.4532984495162964,23.359943389892578,122.89552307128906,2.629697322845459,1.1222285032272339,0.29930439591407776,0.4665970206260681,0.11332893371582031
16,6001.25,600.1243896484375,0.0,0.0009566256776452065,0.048024289309978485,1.43992280960083,21.566617965698242,109.54470825195312,2.4620914459228516,1.5465291738510132,0.28738537430763245,0.4570433795452118,0.11533427238464355
17,8416.2255859375,841.6220092773438,0.0,0.0010083813685923815,0.048104025423526764,1.4167314767837524,20.395784378051758,96.42788696289062,2.637517213821411,1.1511346101760864,0.28542640805244446,0.4452277421951294,0.11811709403991699
18,8003.2001953125,800.3195190429688,0.0,0.0010025856317952275,0.041153039783239365,1.4202935695648193,20.15379524230957,98.09464263916016,2.510563850402832,0.8735767602920532,0.28706443309783936,0.44328758120536804,0.12009501457214355
19,10262.560546875,1026.2554931640625,0.0,0.0009655612520873547,0.049304187297821045,1.441450834274292,21.02071762084961,116.94571685791016,2.6387135982513428,1.680769443511963,0.2961171567440033,0.4524434506893158,0.12208104133605957
20,10349.5478515625,1034.9541015625,0.0,0.0009726887801662087,0.05818135663866997,1.437903642654419,20.907073974609375,113.63276672363281,2.5617613792419434,1.5166505575180054,0.2784261703491211,0.44905221462249756,0.12397432327270508
21,5787.4111328125,578.7405395507812,0.0,0.0009964846540242434,0.050346508622169495,1.4225493669509888,20.78286361694336,102.64779663085938,2.5652060508728027,1.5256614685058594,0.27679985761642456,0.4413604736328125,0.12589311599731445
22,5721.49267578125,572.148681640625,0.0,0.0010221358388662338,0.05057179555296898,1.4090299606323242,20.766738891601562,93.86477661132812,2.5644521713256836,1.1336207389831543,0.2791590392589569,0.4335061013698578,0.128648042678833
23,4123.61474609375,412.3609619140625,0.0,0.000996435177512467,0.04615144431591034,1.4177522659301758,21.71308135986328,95.73721313476562,2.5589280128479004,1.2247211933135986,0.27714473009109497,0.4356669783592224,0.13135814666748047
24,3010.7841796875,301.077880859375,0.0,0.0009262394160032272,0.044369347393512726,1.4504088163375854,23.942157745361328,116.96281433105469,2.5464727878570557,1.3936247825622559,0.29379674792289734,0.4529950022697449,0.13407516479492188
25,2586.627197265625,258.6620788574219,0.0,0.0009052929235622287,0.0532032810151577,1.4612975120544434,24.732162475585938,119.60336303710938,2.5691514015197754,1.2581309080123901,0.29071253538131714,0.45506319403648376,0.13675713539123535
