epoch,loss,budget_loss,constraint_loss,euler_loss,mean_c,mean_a_l,mean_a_i,enrollment_rate,homeownership_rate,kl_share,time
0,56542.296875,5654.2294921875,0.0,0.0011556876124814153,1.344083309173584,34.423858642578125,134.212890625,0.3172341287136078,0.6557697653770447,0.185546875,0.016203880310058594
1,38190.21875,3819.02197265625,0.0,0.0012684621615335345,1.3060681819915771,30.503087997436523,86.14070129394531,0.3188818693161011,0.6615704298019409,0.21484375,0.025881052017211914
2,37794.66015625,3779.466064453125,0.0,0.0012693327153101563,1.3060102462768555,31.684001922607422,85.50529479980469,0.3210749626159668,0.658961296081543,0.162109375,0.034017086029052734
3,36959.27734375,3695.927734375,0.0,0.001218622550368309,1.322088599205017,33.63269805908203,96.89787292480469,0.3199389576911926,0.6552212238311768,0.189453125,0.0422520637512207
4,35993.3359375,3599.333740234375,0.0,0.0012044699396938086,1.3268266916275024,34.65275573730469,102.2575912475586,0.3188607394695282,0.6537519693374634,0.177734375,0.05015993118286133
5,35067.5546875,3506.75537109375,0.0,0.0012189785484224558,1.3214752674102783,34.22051239013672,100.39543914794922,0.31817206740379333,0.6523974537849426,0.18359375,0.05813407897949219
6,32002.5703125,3200.2568359375,0.0,0.001228689681738615,1.3181662559509277,33.0812873840332,93.5596923828125,0.31689539551734924,0.6510340571403503,0.169921875,0.0660238265991211
7,32520.361328125,3252.035888671875,0.0,0.0012278871145099401,1.318379521369934,32.683990478515625,94.21870422363281,0.3168087601661682,0.6513049602508545,0.169921875,0.07413196563720703
8,28008.88671875,2800.888427734375,0.0,0.0012100263265892863,1.3251701593399048,32.14142608642578,101.46388244628906,0.31092098355293274,0.650968611240387,0.193359375,0.07985496520996094
9,23825.876953125,2382.58740234375,0.0,0.0012149058748036623,1.32157301902771,31.40249252319336,108.02915954589844,0.3107033967971802,0.6521485447883606,0.16015625,0.08803081512451172
10,22525.453125,2252.545166015625,0.0,0.0012227414408698678,1.3188822269439697,30.329578399658203,108.77964782714844,0.30494144558906555,0.6544444561004639,0.162109375,0.0960378646850586
11,19861.9921875,1986.1990966796875,0.0,0.001217301469296217,1.321865200996399,28.823955535888672,103.43927001953125,0.301118940114975,0.65737384557724,0.17578125,0.10421085357666016
12,17287.341796875,1728.73388671875,0.0,0.001246415893547237,1.3123623132705688,27.153236389160156,104.38740539550781,0.2995232939720154,0.6606606245040894,0.162109375,0.11227798461914062
13,12495.1279296875,1249.5126953125,0.0,0.0012335979845374823,1.319964051246643,26.098142623901367,110.24957275390625,0.2930832505226135,0.6650955080986023,0.20703125,0.1203310489654541
14,13952.5888671875,1395.2587890625,0.0,0.0012131354305893183,1.3289813995361328,25.132293701171875,117.19379425048828,0.29394328594207764,0.6684693098068237,0.17578125,0.12859106063842773
15,10233.7646484375,1023.3763427734375,0.0,0.0012794645735993981,1.3088438510894775,23.547765731811523,114.0660400390625,0.290303111076355,0.6746523380279541,0.20703125,0.13490676879882812
16,10529.9794921875,1052.997802734375,0.0,0.0014102812856435776,1.2732161283493042,21.647794723510742,97.5357894897461,0.27222204208374023,0.6830434203147888,0.185546875,0.14279913902282715
17,10375.3310546875,1037.532958984375,0.0,0.0014134524390101433,1.2755749225616455,21.017370223999023,104.32579040527344,0.2744651436805725,0.6866434812545776,0.158203125,0.14870905876159668
18,11412.4892578125,1141.248779296875,0.0,0.0014134225202724338,1.2791128158569336,20.885683059692383,117.63971710205078,0.2810409963130951,0.6876711249351501,0.1796875,0.15458202362060547
19,10856.654296875,1085.665283203125,0.0,0.0014764813240617514,1.263806700706482,20.06173324584961,119.03424072265625,0.27062907814979553,0.6912261247634888,0.15625,0.16026902198791504
20,9764.1953125,976.4193115234375,0.0,0.0016259867697954178,1.2345728874206543,18.865461349487305,103.84441375732422,0.2599664330482483,0.698348879814148,0.193359375,0.1661548614501953
21,11011.03515625,1101.103271484375,0.0,0.001691894605755806,1.2144660949707031,17.993179321289062,96.15440368652344,0.2529001235961914,0.6998952627182007,0.16015625,0.17503595352172852
22,10312.9267578125,1031.29248046875,0.0,0.0016274413792416453,1.2288851737976074,18.340839385986328,103.156494140625,0.25089141726493835,0.6970207095146179,0.16015625,0.18094587326049805
23,14673.20703125,1467.320556640625,0.0,0.0015060990117490292,1.2636357545852661,19.409622192382812,125.31147766113281,0.2639215290546417,0.6900028586387634,0.162109375,0.18677592277526855
24,12705.7431640625,1270.5740966796875,0.0,0.0015255084726959467,1.2586190700531006,19.29880142211914,123.35982513427734,0.2724505662918091,0.6895265579223633,0.189453125,0.192734956741333
25,9311.435546875,931.1433715820312,0.0,0.0015830500051379204,1.2396843433380127,18.972747802734375,113.10661315917969,0.2659144401550293,0.6887328624725342,0.140625,0.19868111610412598
26,9831.7607421875,983.1759033203125,0.0,0.0017398730851709843,1.1936402320861816,17.830902099609375,91.16427612304688,0.2540157735347748,0.6911723613739014,0.1953125,0.20707988739013672
27,9386.298828125,938.629638671875,0.0,0.0017245616763830185,1.1997320652008057,18.2036075592041,94.4700927734375,0.2615865468978882,0.6872578859329224,0.193359375,0.21302080154418945
28,6666.15869140625,666.61572265625,0.0,0.0016192723996937275,1.2232635021209717,19.638120651245117,109.28005981445312,0.2705173194408417,0.6796884536743164,0.150390625,0.21887779235839844
29,8188.06884765625,818.8067626953125,0.0,0.001514643314294517,1.2501049041748047,20.592819213867188,119.34001922607422,0.2722441852092743,0.6747534275054932,0.1953125,0.22765111923217773
30,8370.9814453125,837.0979614257812,0.0,0.0014924457063898444,1.2506884336471558,21.190065383911133,121.78814697265625,0.2781384587287903,0.6707105040550232,0.15625,0.23343491554260254
31,6088.99658203125,608.8995361328125,0.0,0.0014836592599749565,1.2497761249542236,21.540504455566406,119.56129455566406,0.27357640862464905,0.6685639023780823,0.205078125,0.2392728328704834
32,6462.29052734375,646.2288818359375,0.0,0.0016258819960057735,1.2101285457611084,20.584720611572266,101.72712707519531,0.275137722492218,0.6694554686546326,0.171875,0.24768996238708496
33,7977.03173828125,797.7030029296875,0.0,0.0016496460884809494,1.2017905712127686,20.289749145507812,94.89578247070312,0.2718534767627716,0.6677258014678955,0.1875,0.2536907196044922
34,6070.82275390625,607.0821533203125,0.0,0.0015836008824408054,1.217306137084961,21.2674560546875,103.95257568359375,0.27670350670814514,0.6633524298667908,0.166015625,0.2594418525695801
35,6063.81103515625,606.3809814453125,0.0,0.0015053724637255073,1.237837553024292,22.349809646606445,115.10639190673828,0.28413820266723633,0.6600689888000488,0.171875,0.26794004440307617
36,6081.8935546875,608.189208984375,0.0,0.0014481114922091365,1.2557320594787598,23.345441818237305,125.9940414428711,0.28119486570358276,0.6567779183387756,0.171875,0.27574896812438965
37,5711.73388671875,571.1732177734375,0.0,0.0014983799774199724,1.2395235300064087,22.613384246826172,115.22869110107422,0.28284117579460144,0.6567673683166504,0.171875,0.2812368869781494
38,5572.66162109375,557.2659912109375,0.0,0.0015703507233411074,1.2226080894470215,21.608335494995117,104.09648895263672,0.2812308073043823,0.6570425629615784,0.1640625,0.2892899513244629
