epoch,loss,budget_loss,constraint_loss,euler_loss,education_loss,mean_c,mean_a_l,mean_a_i,mean_income_primary,mean_income_tertiary,enrollment_rate,time
0,46116.67578125,4611.6669921875,0.0,0.0007767058559693396,0.03281437233090401,1.5256562232971191,36.79737091064453,123.79637908935547,1.7455999851226807,3.4328975677490234,0.3412737548351288,0.0561370849609375
1,37837.546875,3783.75439453125,0.0,0.0007704740855842829,0.03400237858295441,1.5307691097259521,36.302947998046875,104.3702163696289,1.8139621019363403,3.381620407104492,0.33777478337287903,0.06138205528259277
2,38727.13671875,3872.71337890625,0.0,0.000760297873057425,0.03074505552649498,1.5387012958526611,35.594459533691406,88.20497131347656,1.7786856889724731,3.474717855453491,0.3341003656387329,0.06316709518432617
3,37143.72265625,3714.371826171875,0.0,0.0007740180008113384,0.04093393683433533,1.52973210811615,35.227928161621094,84.47769165039062,1.8758798837661743,3.6313865184783936,0.3322228491306305,0.06461620330810547
4,34712.71875,3471.271484375,0.0,0.0007828871021047235,0.03389986231923103,1.5236568450927734,35.07161331176758,85.90862274169922,1.8697607517242432,3.4542412757873535,0.3321916162967682,0.06635212898254395
5,32232.537109375,3223.25341796875,0.0,0.0007928944542072713,0.02718370594084263,1.5171605348587036,34.94928741455078,91.14517211914062,1.7514415979385376,3.5454370975494385,0.33266299962997437,0.06809806823730469
6,30347.994140625,3034.799072265625,0.0,0.0008161872392520308,0.03921245411038399,1.5031275749206543,34.93193435668945,97.82575988769531,1.7859241962432861,3.5083494186401367,0.33324137330055237,0.06997394561767578
7,30936.767578125,3093.676513671875,0.0,0.0008281184127554297,0.029070347547531128,1.4962656497955322,34.92887878417969,104.05296325683594,1.705256700515747,3.5045711994171143,0.33362510800361633,0.07188796997070312
8,25353.8359375,2535.38330078125,0.0,0.0008529266342520714,0.03618093580007553,1.4825778007507324,34.640499114990234,108.25121307373047,1.869566798210144,3.534525156021118,0.33282536268234253,0.07341814041137695
9,23141.341796875,2314.1337890625,0.0,0.0008677953155711293,0.030747463926672935,1.4752167463302612,34.43824768066406,108.5966796875,1.8171736001968384,3.6840708255767822,0.33157068490982056,0.07530903816223145
10,20661.30078125,2066.1298828125,0.0,0.0009005338652059436,0.0241599902510643,1.4585142135620117,34.07958984375,106.82490539550781,1.653889536857605,3.6827023029327393,0.3289176821708679,0.07705521583557129
11,17380.560546875,1738.0556640625,0.0,0.0009054961847141385,0.038405321538448334,1.4572062492370605,33.767364501953125,101.99946594238281,1.75738525390625,3.5260708332061768,0.3252350091934204,0.07879114151000977
12,13373.138671875,1337.313232421875,0.0,0.0009360262774862349,0.04537764936685562,1.4434998035430908,33.32207489013672,98.53927612304688,1.7016850709915161,3.6247000694274902,0.3214453160762787,0.08054709434509277
13,9928.1767578125,992.817138671875,0.0,0.0009741598623804748,0.03658728301525116,1.4254509210586548,32.817237854003906,97.32914733886719,1.7925796508789062,3.302114725112915,0.3167745769023895,0.08234095573425293
14,7350.7294921875,735.072509765625,0.0,0.0009976387955248356,0.03369652479887009,1.4165421724319458,32.356483459472656,97.16822814941406,1.7667001485824585,3.427211046218872,0.31215786933898926,0.08407425880432129
15,4345.470703125,434.5466003417969,0.0,0.0010333253303542733,0.037803761661052704,1.4019163846969604,32.017372131347656,102.72176361083984,1.8198145627975464,3.456124782562256,0.3136710822582245,0.08569908142089844
16,2963.2880859375,296.3283996582031,0.0,0.001047393772751093,0.03134973347187042,1.399937391281128,31.657787322998047,106.7119140625,1.9164055585861206,3.5330660343170166,0.3117903470993042,0.08732008934020996
17,2390.717041015625,239.0712890625,0.0,0.0010715777752920985,0.030918527394533157,1.3918378353118896,31.375587463378906,109.59564208984375,1.8082647323608398,3.3747832775115967,0.3116772472858429,0.08898591995239258
18,2311.8046875,231.17999267578125,0.0,0.0011630665976554155,0.036001067608594894,1.3571760654449463,30.463979721069336,101.51373291015625,1.8382468223571777,3.6374881267547607,0.3064955770969391,0.09062504768371582
19,2564.376708984375,256.4371643066406,0.0,0.0012021120637655258,0.03820488601922989,1.3419883251190186,30.264789581298828,103.85650634765625,1.7219206094741821,3.583242893218994,0.29616111516952515,0.09226417541503906
20,3600.081787109375,360.0077209472656,0.0,0.0012074654223397374,0.034307777881622314,1.3409595489501953,29.990997314453125,97.20793914794922,1.7727563381195068,3.7958178520202637,0.28990039229393005,0.0935671329498291
21,3645.611572265625,364.560546875,0.0,0.0012238984927535057,0.049126140773296356,1.3347312211990356,29.993606567382812,96.85893249511719,1.8391668796539307,3.371840476989746,0.28411865234375,0.09485292434692383
22,3239.3271484375,323.93218994140625,0.0,0.0012066157069057226,0.04233136400580406,1.3419129848480225,30.07686424255371,101.33135986328125,1.7829331159591675,3.513634443283081,0.2838172912597656,0.09615921974182129
23,3024.430908203125,302.44256591796875,0.0,0.0011873943731188774,0.039707135409116745,1.3472301959991455,30.002120971679688,96.96453857421875,1.7389028072357178,3.4265477657318115,0.2929633855819702,0.0974431037902832
24,2233.890869140625,223.38851928710938,0.0,0.001163417473435402,0.044019751250743866,1.3539340496063232,30.912437438964844,103.4658432006836,1.6800767183303833,3.620368719100952,0.296832799911499,0.09867000579833984
25,1338.6904296875,133.86843872070312,0.0,0.0011343661462888122,0.050113495439291,1.3615120649337769,31.120742797851562,99.9927978515625,1.6599372625350952,3.764979600906372,0.2763715088367462,0.10038590431213379
26,1135.6719970703125,113.56664276123047,0.0,0.001099130604416132,0.0451691634953022,1.37362802028656,31.59331512451172,100.45042419433594,1.865716814994812,3.5755221843719482,0.2888696491718292,0.10205507278442383
27,927.6589965820312,92.76531982421875,0.0,0.0010463211219757795,0.04762847721576691,1.394030213356018,32.43192672729492,105.47190856933594,1.7017251253128052,3.317729949951172,0.28810733556747437,0.103668212890625
28,1147.05615234375,114.705078125,0.0,0.0010495439637452364,0.043283767998218536,1.3930398225784302,32.341209411621094,104.13035583496094,1.711246132850647,3.506121873855591,0.2893500030040741,0.10530304908752441
29,1142.4229736328125,114.24175262451172,0.0,0.0010541032534092665,0.04341214895248413,1.3908982276916504,32.36585235595703,105.33447265625,1.6589972972869873,3.606743097305298,0.2803821265697479,0.10656595230102539
30,1150.2625732421875,115.02571105957031,0.0,0.0010818415321409702,0.043758004903793335,1.379601001739502,32.097747802734375,100.67778778076172,1.8100396394729614,3.544508218765259,0.284396231174469,0.10788488388061523
31,1182.3504638671875,118.2344970703125,0.0,0.0011371441651135683,0.0435282327234745,1.3587726354599,31.579185485839844,97.87571716308594,1.7663025856018066,3.5326383113861084,0.2756548821926117,0.10930705070495605
32,1087.4344482421875,108.742919921875,0.0,0.0011872677132487297,0.040213681757450104,1.3418859243392944,31.064006805419922,96.58304595947266,1.782177448272705,3.444432497024536,0.26865580677986145,0.11071610450744629
33,718.9556274414062,71.8950424194336,0.0,0.0012078972067683935,0.0396774560213089,1.3411719799041748,30.961557388305664,102.36607360839844,1.699004054069519,3.679800033569336,0.26865720748901367,0.11203813552856445
34,397.4954833984375,39.74900817871094,0.0,0.0012888137716799974,0.04107861965894699,1.314347267150879,30.49576187133789,103.68394470214844,1.804606318473816,3.433354377746582,0.27436143159866333,0.11384105682373047
35,528.5574951171875,52.85519790649414,0.0,0.0013610069872811437,0.04157577082514763,1.2969890832901,29.92321014404297,103.8632583618164,1.8417378664016724,3.62608003616333,0.2726340591907501,0.11553716659545898
36,558.5608520507812,55.85542297363281,0.0,0.0014556926907971501,0.051933348178863525,1.2740346193313599,29.34808921813965,100.74855041503906,1.6852201223373413,3.502983570098877,0.25689706206321716,0.11684489250183105
37,613.6343383789062,61.3629035949707,0.0,0.0014873712789267302,0.03825056180357933,1.2728354930877686,29.382225036621094,107.1033935546875,1.7585344314575195,3.4912240505218506,0.265400230884552,0.11814117431640625
38,537.9000854492188,53.789337158203125,0.0,0.0015816307859495282,0.05123623460531235,1.2502928972244263,28.826602935791016,104.34068298339844,1.8075690269470215,3.471045970916748,0.2528427243232727,0.1193840503692627
39,572.4014892578125,57.2394905090332,0.0,0.0016335644759237766,0.04913755878806114,1.2426884174346924,28.42723846435547,101.227294921875,1.7800986766815186,3.4413912296295166,0.2559519112110138,0.12063002586364746
40,357.08172607421875,35.70746994018555,0.0,0.001627392484806478,0.05402079597115517,1.23996102809906,28.816570281982422,105.4367904663086,1.7731775045394897,3.699622869491577,0.2597753405570984,0.12186789512634277
41,494.5617370605469,49.45551681518555,0.0,0.0015765823191031814,0.04968512803316116,1.2531507015228271,29.178112030029297,109.1817398071289,1.8208260536193848,3.4542832374572754,0.26183557510375977,0.12353706359863281
42,594.2837524414062,59.42765808105469,0.0,0.001719856052659452,0.054380644112825394,1.223900318145752,28.705480575561523,105.35101318359375,1.7967058420181274,3.494245767593384,0.2472788542509079,0.12487602233886719
43,508.46771240234375,50.8460578918457,0.0,0.001723259687423706,0.054442983120679855,1.2205259799957275,28.559045791625977,102.79158020019531,1.5902609825134277,3.431544780731201,0.254499614238739,0.12615585327148438
44,473.6046447753906,47.35969161987305,0.0,0.0016970601864159107,0.06003046780824661,1.2274580001831055,28.924869537353516,106.837890625,1.7610211372375488,3.4739835262298584,0.25878018140792847,0.12746787071228027
45,575.5029907226562,57.54957962036133,0.0,0.0016782842576503754,0.05538533255457878,1.230502963066101,28.784725189208984,106.2823257446289,1.8411692380905151,3.4618637561798096,0.2597216069698334,0.12872695922851562
46,549.1209716796875,54.91142272949219,0.0,0.0017351508140563965,0.05033671855926514,1.2182519435882568,28.793964385986328,107.1345443725586,1.7435301542282104,3.553098201751709,0.25889071822166443,0.12994122505187988
47,501.63140869140625,50.16248321533203,0.0,0.0017939319368451834,0.047910578548908234,1.2079838514328003,28.32718276977539,104.57982635498047,1.7289422750473022,3.5127902030944824,0.2656290531158447,0.13119721412658691
48,487.3766174316406,48.73694610595703,0.0,0.0019118209602311254,0.05245182663202286,1.1970093250274658,27.889299392700195,102.0925521850586,1.7275197505950928,3.5503809452056885,0.25220853090286255,0.1324598789215088
49,395.8143310546875,39.580718994140625,0.0,0.0018662656657397747,0.05281343311071396,1.2016501426696777,28.324813842773438,107.66397857666016,1.7624340057373047,3.4965953826904297,0.267929345369339,0.1336989402770996
50,364.0826416015625,36.407657623291016,0.0,0.0019520637579262257,0.041190214455127716,1.1915262937545776,27.821144104003906,104.94424438476562,1.7714369297027588,3.651012659072876,0.26587188243865967,0.1350419521331787
51,311.185302734375,31.11786651611328,0.0,0.002063089981675148,0.04586084187030792,1.1756260395050049,27.52644920349121,105.31867980957031,1.7227909564971924,3.5389366149902344,0.25967252254486084,0.13631105422973633
52,427.3031921386719,42.72957992553711,0.0,0.0021818415261805058,0.05231688544154167,1.1629612445831299,27.025833129882812,101.89102172851562,1.7490038871765137,3.512383460998535,0.2544901669025421,0.138106107711792
53,378.58599853515625,37.857940673828125,0.0,0.002082537394016981,0.04531741142272949,1.1779614686965942,27.146474838256836,103.56976318359375,1.7650052309036255,3.4629430770874023,0.26655587553977966,0.13936400413513184
54,365.5733337402344,36.55665588378906,0.0,0.002179335802793503,0.04605485871434212,1.1628649234771729,27.271364212036133,105.1471939086914,1.6482723951339722,3.367203712463379,0.26351580023765564,0.14068222045898438
55,319.9742126464844,31.99665069580078,0.0,0.0022141896188259125,0.05488387495279312,1.164792776107788,27.051435470581055,104.52767944335938,1.7089617252349854,3.4926555156707764,0.2479138970375061,0.1419980525970459
56,350.1082763671875,35.01007843017578,0.0,0.00226782588288188,0.05257877707481384,1.1425940990447998,26.35626983642578,97.99886322021484,1.811802625656128,3.680762767791748,0.24530190229415894,0.14324021339416504
57,399.3481750488281,39.9340934753418,0.0,0.0022766890469938517,0.04929798096418381,1.1540396213531494,27.010868072509766,103.317626953125,1.7766739130020142,3.373018980026245,0.24936291575431824,0.14450716972351074
58,279.6420593261719,27.963428497314453,0.0,0.002268620766699314,0.055124469101428986,1.155274510383606,26.864788055419922,102.18896484375,1.6512199640274048,3.4797110557556152,0.2582276165485382,0.14584898948669434
59,294.2694396972656,29.426219940185547,0.0,0.0021372102200984955,0.05107226222753525,1.1692774295806885,27.379533767700195,106.31723022460938,1.782504916191101,3.6563706398010254,0.24708497524261475,0.14761900901794434
60,345.99407958984375,34.598628997802734,0.0,0.00221394095569849,0.05541975423693657,1.161020278930664,27.138811111450195,104.73747253417969,1.7774568796157837,3.536885976791382,0.2626756727695465,0.1489708423614502
61,283.7192687988281,28.371248245239258,0.0,0.002157985232770443,0.04599069803953171,1.1665678024291992,27.340545654296875,106.2447280883789,1.8291192054748535,3.5659408569335938,0.27048659324645996,0.1502680778503418
62,353.8458557128906,35.383872985839844,0.0,0.002279471606016159,0.04831888526678085,1.1550943851470947,26.67056655883789,102.15229797363281,1.7009978294372559,3.594616174697876,0.25997090339660645,0.15154695510864258
63,347.47882080078125,34.747047424316406,0.0,0.0022285510785877705,0.061438608914613724,1.160346269607544,27.60898208618164,109.64768981933594,1.6827207803726196,3.3241422176361084,0.26015356183052063,0.15286493301391602
