epoch,loss,budget_loss,constraint_loss,euler_loss,mean_c,mean_a_l,mean_a_i,mean_mortgage,homeownership_rate,enrollment_rate,private_healthcare_rate,time
0,58042.06640625,5804.20654296875,0.0,0.0009001357248052955,1.457119107246399,35.57524871826172,139.62417602539062,8.398935317993164,0.657080888748169,0.31645897030830383,0.5366366505622864,0.013450145721435547
1,72981.1171875,7298.11181640625,0.0,0.0007539422949776053,1.5435261726379395,26.27206802368164,48.26515197753906,7.282937526702881,0.6607589721679688,0.30597352981567383,0.5000548362731934,0.02228522300720215
2,58036.0390625,5803.60400390625,0.0,0.0007388370577245951,1.5571873188018799,33.559486389160156,57.937435150146484,7.278203964233398,0.6512265801429749,0.3176417648792267,0.525062084197998,0.02644205093383789
3,39509.00390625,3950.900390625,0.0,0.0007929923012852669,1.523632287979126,43.16985321044922,86.54244232177734,7.3607177734375,0.6520002484321594,0.3262866735458374,0.5484039783477783,0.03265213966369629
4,38107.3359375,3810.7333984375,0.0,0.0008214816334657371,1.5011112689971924,48.72648620605469,102.33749389648438,7.870878219604492,0.6538711786270142,0.318040668964386,0.549530029296875,0.0389251708984375
5,38827.04296875,3882.704345703125,0.0,0.00080395198892802,1.5095815658569336,50.40875244140625,94.3289566040039,8.213436126708984,0.6489883661270142,0.3159242570400238,0.5467872619628906,0.0448760986328125
6,35324.7421875,3532.47412109375,0.0,0.0007566635031253099,1.5393271446228027,48.87574768066406,76.46943664550781,7.8166351318359375,0.6407223343849182,0.3167762756347656,0.5432190895080566,0.04876208305358887
7,32192.7421875,3219.274169921875,0.0,0.0007528765709139407,1.542410135269165,47.759002685546875,71.67677307128906,6.739958763122559,0.6354184746742249,0.3161858916282654,0.5429085493087769,0.056176185607910156
8,32192.28515625,3219.228515625,0.0,0.0007828393718227744,1.5237001180648804,48.09032440185547,78.79893493652344,7.553305149078369,0.6323091387748718,0.31564459204673767,0.5460999011993408,0.06228923797607422
9,31604.005859375,3160.400634765625,0.0,0.0008606273913756013,1.476534128189087,48.7508544921875,97.02262878417969,6.944156646728516,0.6342208385467529,0.31093403697013855,0.5461101531982422,0.06887412071228027
10,23279.62890625,2327.962890625,0.0,0.0009076501592062414,1.4511867761611938,47.63484191894531,106.1889419555664,8.281198501586914,0.6354393362998962,0.30871179699897766,0.5447554588317871,0.07507109642028809
11,20866.5703125,2086.656982421875,0.0,0.0008812599116936326,1.465965986251831,44.20975112915039,97.12129211425781,7.158543109893799,0.6313235759735107,0.31158727407455444,0.5440683364868164,0.08132410049438477
12,17983.689453125,1798.368896484375,0.0,0.0008270732942037284,1.4982953071594238,38.67036437988281,80.91325378417969,7.3802714347839355,0.626017689704895,0.31257057189941406,0.5381686687469482,0.08726119995117188
13,13566.7197265625,1356.671875,0.0,0.0008260072208940983,1.5002195835113525,34.88768005371094,81.20497131347656,7.516006946563721,0.6287682056427002,0.30741792917251587,0.5336027145385742,0.09339714050292969
14,7284.31982421875,728.431884765625,0.0,0.0009109026286751032,1.4534950256347656,33.940826416015625,105.03153228759766,7.315476417541504,0.6375525593757629,0.305819034576416,0.5347152948379517,0.0994119644165039
15,5109.0546875,510.9053649902344,0.0,0.0009377936366945505,1.4415971040725708,31.38406753540039,113.86161041259766,7.537984848022461,0.6431610584259033,0.3061395585536957,0.5304168462753296,0.10559415817260742
16,6370.20068359375,637.0199584960938,0.0,0.0009245967958122492,1.4517958164215088,27.911914825439453,100.45103454589844,6.636899948120117,0.6442363262176514,0.3020336627960205,0.51393723487854,0.11156725883483887
17,6133.13330078125,613.313232421875,0.0,0.0009103004704229534,1.4613456726074219,25.335464477539062,95.67581176757812,7.917664527893066,0.6463693380355835,0.29927170276641846,0.5018691420555115,0.11544013023376465
18,10216.0966796875,1021.609619140625,0.0,0.0009506529895588756,1.4395489692687988,25.23296546936035,116.8323974609375,8.006890296936035,0.6513338088989258,0.2994239032268524,0.5050630569458008,0.11907815933227539
19,10181.4150390625,1018.1414184570312,0.0,0.0009303123806603253,1.4503977298736572,23.67812728881836,106.0586929321289,8.450592041015625,0.6512059569358826,0.29324445128440857,0.4911329746246338,0.12295126914978027
20,11487.8349609375,1148.783447265625,0.0,0.0009018925484269857,1.4657185077667236,21.127532958984375,85.00897216796875,8.245416641235352,0.6492905616760254,0.29131537675857544,0.4701892137527466,0.12707924842834473
21,8938.4521484375,893.8450927734375,0.0,0.0008934003417380154,1.4725292921066284,21.108787536621094,86.38636779785156,7.5408101081848145,0.6504184603691101,0.2912053167819977,0.4699433743953705,0.13117527961730957
22,7577.3525390625,757.7351684570312,0.0,0.0009470275253988802,1.4423234462738037,23.911645889282227,111.02629852294922,6.707219123840332,0.650097131729126,0.2941037714481354,0.49240729212760925,0.13527202606201172
23,6679.2861328125,667.9285278320312,0.0,0.0009431944927200675,1.4441020488739014,24.309921264648438,114.15252685546875,7.192249298095703,0.6487169861793518,0.2942098379135132,0.49868541955947876,0.13911700248718262
24,4527.14453125,452.71435546875,0.0,0.0009074583649635315,1.4623734951019287,23.13251495361328,93.90267944335938,6.800905227661133,0.6421946883201599,0.2933878004550934,0.4913914203643799,0.14318203926086426
25,3466.03662109375,346.60357666015625,0.0,0.000881693500559777,1.476198434829712,23.67664337158203,94.98738098144531,7.424277305603027,0.6395195722579956,0.2927281856536865,0.49858617782592773,0.14945316314697266
